bd5a4e94-b052-47eb-8fdd-99585be56be7	Acid-Free Adhesive Dot Formulation	/objects/uploads/f0517b40-a28b-4580-93b4-9e3b040b1571?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=heimdall-production%40replit-user-deployments.iam.gserviceaccount.com%2F20251206%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20251206T091118Z&X-Goog-Expires=899&X-Goog-Signature=6b69931dd2a49964047bc2d03e56064f8b51c0af2aa57cdba5ae353604b1a0fb699edf8bad121c3b0945d8eb2b3d61f12cd5843d1d956506684b1bd818739027d7abc32ce908727944e78eb0149479f97ede4fc34a26be2f01c0957f0b913fccdc29ed2507e02cb934b25323e3d1f6fe1bf727b59a6722578c9fd51d374e2cbe4ac80d81cfc00079f40565a868698b534940cf67ad2407335f9698b22d4dc15a19754445bbbdb19f3ec2804784cec8ef44a9e69b23f711016a5022c3cb352040d0600a98522efe3e667ff3c1486242e252308d4cf355a8f3b7772e677c93e944605cb2b1915eb711bf1098915964a43eb6b45f2e90d82ad3450b96f3425e80b7&X-Goog-SignedHeaders=host
bce49ebf-8156-4cd3-a411-b3ec78e10486	Activated Charcoal Detoxifying Beard Cleanser Formulation	/objects/uploads/e67b0bf2-5638-4e8b-94ac-97972a9f8914?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=heimdall-production%40replit-user-deployments.iam.gserviceaccount.com%2F20251206%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20251206T091330Z&X-Goog-Expires=899&X-Goog-Signature=73e1d128659931a387e3d57c114e610b24b291b1d2ffb71888b6910f9216ce4c0a51291e17ba01c94a977b606a589e7ce52029906616cd4d6184c4c46734f3b96722b379d25d72aaab98026ae1979bd4a02560f8ef1d2f07bf0019549882f574a3caafd83f70b1b2d6404281c22b0d66ec24254621ae8b875a2f3f5541a8f0f77864e8f04c9c92e1f5570cf9fb01984fb9da343ae56c64990d44a01e84d4d289577815bc6784f759fde96726392ed2eb3a5f5c818b66d591934c02a98652d0411fbe3d4a14044e581a9e949bad16941d2f8cbe95b2d6567c086e8a370e675e19e4153ade79809f2fafd97c1e53f2ef5c466d2b1993b7d411b69fd969b6daa6d4&X-Goog-SignedHeaders=host
64077845-362f-418b-8f93-de97625fb7ff	Advanced Baby Body Wash Formula	/objects/uploads/efb8bb38-e096-4362-a116-0814ff037604?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=heimdall-production%40replit-user-deployments.iam.gserviceaccount.com%2F20251206%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20251206T091622Z&X-Goog-Expires=899&X-Goog-Signature=33d0682f42b5648cb8b87279bd60c7cda26c6011ae608bcc3ed5f986fac7a279307e111d3e2fa12f17a55e624cded8eebf5039bbff146d99735dc5300668f3387532f7ea3cefa7f0e0e37467175de6c0e8216f41083ccc27d44609d1e9c3fbb99a1ff1cde4c923725b07f2021f6eafc925ff86f3403aa43fb1152afdbd1c2e6ce1e0e253ef9485baa886d69a7408073995c388c0f6af7a21e038085b0fa088672529bf087b80480e63d2754e1665aa7fc7a96672e638567df55e5bba6616bc26f8cca81025c130b19af0ae9420c8b5125a3d415aa71e96133925f681f7e34877baa31cfd3dfc90f5d13cd094efa6d3b403cb789688082178abfe709a7c0582a1&X-Goog-SignedHeaders=host
302a9d40-cad8-4a0c-ba9d-c6e2c9b5479c	Advanced Fire-Resistant Gypsum Board Formulation	/objects/uploads/ce3e3d7b-2556-4e6a-ba3b-fa553b184522?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=heimdall-production%40replit-user-deployments.iam.gserviceaccount.com%2F20251206%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20251206T091807Z&X-Goog-Expires=899&X-Goog-Signature=2b08e16fe884ebd3b2dd5b6a1005cb5376c486bc0c3500ae18b9b5372a04c26c14b977aaa55368e4e03c7f1b2ca4fae1251e43a076fb899b9c85fa97e70e9acb12f5bb679493ed69cae378e370d4acf4fe9fa27f46b1722c116a24cd49c38d5a373887623b8d6a263b7eac21ca8b66953be1102147530297bad26145b3e2e84b43a0b34341e2d1602da2f8c483a4ab0f89493eab117f4aca6f20a49fa4570a34d5d37a466d14effaa27a6d6e9b5162581d114065b35971c4d76ff0b1af8fd56397872fbfe583e5bc2423033b5bc3342b0c22491fba89d76233a8efbb001897580f401569cd9574133dde2d0076a18a3569b91db506a03612b3eb35a70d7f48e9&X-Goog-SignedHeaders=host
227bc445-ec45-44cb-a4e7-fc2b16f94cf1	Advanced Microencapsulated Herbicide Formulation	/objects/uploads/858d0bf2-f1d6-411f-bec1-fb61dfc211ad?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=heimdall-production%40replit-user-deployments.iam.gserviceaccount.com%2F20251206%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20251206T092137Z&X-Goog-Expires=899&X-Goog-Signature=03e1d88e1d5ba4451d516e246952a917a52ace21faf48555ea6bee00f7c6df582b12778a2cf04af68e65966b893d0a573540fe1945909f19826c37cc9fd6edd7a84af06b6241595c8d6d6fd368455cf975e7fb9fc47f5f9703a611786407705fa7c29a098ce1af9ad14666cd533c4c4cf1fd0655d72a5b5d1ede761fb0171d9e543fc8b87f118e97490383032e3b33a3bdffa72f93a38b8394c859dfb94f7ab28e30c49a8e0d27ddfa728b3c5856d9a03bd8d4c70295ac227437d924d242775604b6afc7827dfeb2b01a86b540f2d89a9e50f407315818c0c824a88db3f19d9afc7166cac10f0ec80346b01334d789e80daf61d75cc84a81263088224653c214&X-Goog-SignedHeaders=host
1beffa51-06d3-4a45-94c0-293da76cb78a	Advanced Snow Foam Car Shampoo Formula	/objects/uploads/0aa8f295-bd3d-411a-abcd-1d1bb359fa34?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=heimdall-production%40replit-user-deployments.iam.gserviceaccount.com%2F20251206%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20251206T092330Z&X-Goog-Expires=899&X-Goog-Signature=a84d25fd7916b759a2c83f71333c92dd1e3414813f5598ee79a678a177651bde99bba3853a420905e4a5eb0b7406fcb1d0bc9d862308591dfe3f5e92e7dad3a50a63aff46a710973d69a59a86b34465650258bae51ab44efba89eb187ff51f59b0b47ef816a3db6bf2932d98c99c80c7765e8ef8c0f61b5abc8b501c7cb02f5efa2b9bcd00cfc54aca0e6eac8406ba7c48b0cecb886c992489a51adebf7dd9e03b2080f16a68abb7be79e4f33378ea3007773a72055b1c0ed7684e8ea341cc9afd8df31079ca07f61702df8dedb179ad625ada234a805d41ec997f0042d527b595ff0a72322ed950053ea053b6c52c0e3c00d6e7952137b6a4250e4f30e6c5f8&X-Goog-SignedHeaders=host
b827bc19-aa90-4f05-b432-eaf5fad287de	All-Natural Shoe Care Cleaning Formula	/objects/uploads/7c24a4e9-74f6-436d-9881-40b0b664a824?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=heimdall-production%40replit-user-deployments.iam.gserviceaccount.com%2F20251129%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20251129T053954Z&X-Goog-Expires=899&X-Goog-Signature=8c5d6f57869d073f03105be26681f7e5225c363c769d95dc3d47be57f91e203f387c72cc8a8f9170bbcb057167d8d8e5fca01b61428a39b199dd7ed835ca00f92fcccfb4c6e1d887fa2c62f1cb06b6122207c5be963d028f73bcce5f71d928a073612b9894c6010cc8e048b86d28dea23e452c3927d4202ccbb5796b102d05a4c9215aeb89bb9c11db1a63857fb3a65c3c12a870f9bed42ee4eb58a2f074f64f9a1c25d3a55e054117ff22bd56205cf1d24328feb21987c6eb10295c14829bade957c0e68d75c3b95e9971391ea4d39f09d847bbede0277298c788fd36310d10aed05e68f2fe3baed7780c2f0e1d31cadd113624256a286ad9fdab2d0e3085a0&X-Goog-SignedHeaders=host
08b92802-7741-4df1-8453-8e523e7c02b3	Anti-Pollution Protective Base Formulation	/objects/uploads/e4d79667-26a0-4862-9cd1-3fcdf7e47d64?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=heimdall-production%40replit-user-deployments.iam.gserviceaccount.com%2F20251206%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20251206T094319Z&X-Goog-Expires=899&X-Goog-Signature=87e183b2ea06e397380572e7c2d59d6baca7cec7ebfff32535e40b153543df4c282cd180eb9e0509bdb627e771d3f34abcf483cedd0fe8d5f4c84882489153d048e5366ecb8e78d8fe994fa0bdab44aad3856f5229b68f207a354df7d6eabd1d09d90232d159346c3f50ccceb602a63793e1c869328fdef8e10ac6932edcc24b72408cda584eb7dc0f5a15969d34873424887db715e9c950cc722aac7292f091910d6919c1414da40204120a86db3fa9b607923928357184206218e6394775bf696e334b9d3baf86c3c47b31bfca4ae47f4ae9b1fd7e71dc27a802e3e3cebfa61794f7357b0f0abd17fbbe6adc3578edf55aee5640e3214f8a9f569e1255aec3&X-Goog-SignedHeaders=host
e21357b3-40dc-497e-b53d-7491cec596f6	Antimicrobial Footbed Cleaner Formulation	/objects/uploads/37cac2aa-9f44-4282-9ff2-696a9d132a0d?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=heimdall-production%40replit-user-deployments.iam.gserviceaccount.com%2F20251201%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20251201T141140Z&X-Goog-Expires=899&X-Goog-Signature=9bcfd8b3f71a1222e6b16ecb4335aff3e6115125149b520a21b6172bef2a4cc5d9b29e45883013b5a7db65df5a661726d417b13b902519337a20fe22e8a163ded1e5615ced7d1ef96b5e37b1428176f4ed6c5b76db21ee3c45de0438cd99c124e57fbf457af05ed659b22d8de4d5777e9600988f8a2ed4643fab1768496411d601249608b7365aed3a9fbb6a517820a1d2ee6e0a36a07105f27056f8292fb0a47569e6782b564bacf7ee28b5f6b658738c46fa51ee8135cea15862e4be9b45d1b8a104b27fca3d628747c5a0e320e4fb3e737074bf0281bdba3190e35b9da4bb11413c823af5c18d3ddb8225bfb3cfa25ea0418d2ace8a3ff0807745e0cf44b8&X-Goog-SignedHeaders=host
57330bb4-7a60-4725-b082-179a77d810aa	Argan Oil & Shea Butter Nourishing Hair Mask Formulation	/objects/uploads/7835df60-d527-4b93-b547-8286b6dafe8a?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=heimdall-production%40replit-user-deployments.iam.gserviceaccount.com%2F20251206%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20251206T094444Z&X-Goog-Expires=899&X-Goog-Signature=634a1e41021929d84c5f4a40cd44dc2809c6d933e49be5261b949ce763d3adc2d6b70458eed7b75f9bcb7faf48bdf94698cb1899f71ac4a80dd303b9335b40c56ed635eaca5fcd4845ad9836f5296ebd1d7de0e64bced9ceb07d0f0b782afed656eb5895404e9af9f744a5a2b36832a68eddab6f87cd7adb733b5df2ee1831a0f8eda35fe073407a8a3f79754ed08968c27eed96a11a963a9cc3e50f8403071df744041cfbbde48f323fd618cd3889e5f752f6e6d2278f2620a351d8a808db2ca5a2cf207d2feb4ace88dd3a08ef5f25c0d3c6f01596b734015adb9599228fe2723de9516912e6fe69711481988072e4a0ce6d4d8f194bf0c79485ce47d9efdc&X-Goog-SignedHeaders=host
